Activation,Hidden Nodes Layer 1,Hidden Nodes Layer 2,Optimizer,Loss
relu,32,16,adam,binary_crossentropy
relu,32,16,adam,mean_squared_error
relu,32,16,rmsprop,binary_crossentropy
relu,32,16,rmsprop,mean_squared_error
relu,32,32,adam,binary_crossentropy
relu,32,32,adam,mean_squared_error
relu,32,32,rmsprop,binary_crossentropy
relu,32,32,rmsprop,mean_squared_error
relu,32,64,adam,binary_crossentropy
relu,32,64,adam,mean_squared_error
relu,32,64,rmsprop,binary_crossentropy
relu,32,64,rmsprop,mean_squared_error
relu,64,16,adam,binary_crossentropy
relu,64,16,adam,mean_squared_error
relu,64,16,rmsprop,binary_crossentropy
relu,64,16,rmsprop,mean_squared_error
relu,64,32,adam,binary_crossentropy
relu,64,32,adam,mean_squared_error
relu,64,32,rmsprop,binary_crossentropy
relu,64,32,rmsprop,mean_squared_error
relu,64,64,adam,binary_crossentropy
relu,64,64,adam,mean_squared_error
relu,64,64,rmsprop,binary_crossentropy
relu,64,64,rmsprop,mean_squared_error
relu,128,16,adam,binary_crossentropy
relu,128,16,adam,mean_squared_error
relu,128,16,rmsprop,binary_crossentropy
relu,128,16,rmsprop,mean_squared_error
relu,128,32,adam,binary_crossentropy
relu,128,32,adam,mean_squared_error
relu,128,32,rmsprop,binary_crossentropy
relu,128,32,rmsprop,mean_squared_error
relu,128,64,adam,binary_crossentropy
relu,128,64,adam,mean_squared_error
relu,128,64,rmsprop,binary_crossentropy
relu,128,64,rmsprop,mean_squared_error
sigmoid,32,16,adam,binary_crossentropy
sigmoid,32,16,adam,mean_squared_error
sigmoid,32,16,rmsprop,binary_crossentropy
sigmoid,32,16,rmsprop,mean_squared_error
sigmoid,32,32,adam,binary_crossentropy
sigmoid,32,32,adam,mean_squared_error
sigmoid,32,32,rmsprop,binary_crossentropy
sigmoid,32,32,rmsprop,mean_squared_error
sigmoid,32,64,adam,binary_crossentropy
sigmoid,32,64,adam,mean_squared_error
sigmoid,32,64,rmsprop,binary_crossentropy
sigmoid,32,64,rmsprop,mean_squared_error
sigmoid,64,16,adam,binary_crossentropy
sigmoid,64,16,adam,mean_squared_error
sigmoid,64,16,rmsprop,binary_crossentropy
sigmoid,64,16,rmsprop,mean_squared_error
sigmoid,64,32,adam,binary_crossentropy
sigmoid,64,32,adam,mean_squared_error
sigmoid,64,32,rmsprop,binary_crossentropy
sigmoid,64,32,rmsprop,mean_squared_error
sigmoid,64,64,adam,binary_crossentropy
sigmoid,64,64,adam,mean_squared_error
sigmoid,64,64,rmsprop,binary_crossentropy
sigmoid,64,64,rmsprop,mean_squared_error
sigmoid,128,16,adam,binary_crossentropy
sigmoid,128,16,adam,mean_squared_error
sigmoid,128,16,rmsprop,binary_crossentropy
sigmoid,128,16,rmsprop,mean_squared_error
sigmoid,128,32,adam,binary_crossentropy
sigmoid,128,32,adam,mean_squared_error
sigmoid,128,32,rmsprop,binary_crossentropy
sigmoid,128,32,rmsprop,mean_squared_error
sigmoid,128,64,adam,binary_crossentropy
sigmoid,128,64,adam,mean_squared_error
sigmoid,128,64,rmsprop,binary_crossentropy
sigmoid,128,64,rmsprop,mean_squared_error
tanh,32,16,adam,binary_crossentropy
tanh,32,16,adam,mean_squared_error
tanh,32,16,rmsprop,binary_crossentropy
tanh,32,16,rmsprop,mean_squared_error
tanh,32,32,adam,binary_crossentropy
tanh,32,32,adam,mean_squared_error
tanh,32,32,rmsprop,binary_crossentropy
tanh,32,32,rmsprop,mean_squared_error
tanh,32,64,adam,binary_crossentropy
tanh,32,64,adam,mean_squared_error
tanh,32,64,rmsprop,binary_crossentropy
tanh,32,64,rmsprop,mean_squared_error
tanh,64,16,adam,binary_crossentropy
tanh,64,16,adam,mean_squared_error
tanh,64,16,rmsprop,binary_crossentropy
tanh,64,16,rmsprop,mean_squared_error
tanh,64,32,adam,binary_crossentropy
tanh,64,32,adam,mean_squared_error
tanh,64,32,rmsprop,binary_crossentropy
tanh,64,32,rmsprop,mean_squared_error
tanh,64,64,adam,binary_crossentropy
tanh,64,64,adam,mean_squared_error
tanh,64,64,rmsprop,binary_crossentropy
tanh,64,64,rmsprop,mean_squared_error
tanh,128,16,adam,binary_crossentropy
tanh,128,16,adam,mean_squared_error
tanh,128,16,rmsprop,binary_crossentropy
tanh,128,16,rmsprop,mean_squared_error
tanh,128,32,adam,binary_crossentropy
tanh,128,32,adam,mean_squared_error
tanh,128,32,rmsprop,binary_crossentropy
tanh,128,32,rmsprop,mean_squared_error
tanh,128,64,adam,binary_crossentropy
tanh,128,64,adam,mean_squared_error
tanh,128,64,rmsprop,binary_crossentropy
tanh,128,64,rmsprop,mean_squared_error
